,team,latitude,longitude
0,Boston Celtics,42.366303, 71.062228
1,Brooklyn Nets,40.68265, 73.974689
2,New York Knicks,40.750556, 73.993611
3,Philadelphia 76ers,39.901111, 75.171944
4,Toronto Raptors,43.643333, 79.379167
5,Chicago Bulls,41.880556, 87.674167
6,Cleveland Cavaliers,41.496389, 81.688056
7,Detroit Pistons,42.696944, 83.245556
8,Indiana Pacers,39.763889, 86.155556
9,Milwaukee Bucks,43.043611, 87.916944
10,Atlanta Hawks,33.757222, 84.396389
11,Charlotte Hornets,35.225, 80.839167
12,Miami Heat,25.781389, 80.188056
13,Orlando Magic,28.539167, 81.383611
14,Washington Wizards,38.898056, 77.020833
15,Denver Nuggets,39.748611, 105.0075
16,Minnesota Timberwolves,44.979444, 93.276111
17,Oklahoma City Thunder,35.463333, 97.515
18,Portland Trail Blazers,45.531667, 122.666667
19,Utah Jazz,40.768333, 111.901111
20,Golden State Warriors,37.768056, 122.3875
21,Los Angeles Clippers,34.043056, 118.267222
22,Los Angeles Lakers,34.043056, 118.267222
23,Phoenix Suns,33.445833, 112.071389
24,Sacramento Kings,38.649167, 121.518056
25,Dallas Mavericks,32.790556, 96.810278
26,Houston Rockets,29.750833, 95.362222
27,Memphis Grizzlies,35.138333, 90.050556
28,New Orleans Pelicans,29.948889, 90.081944
29,San Antonio Spurs,29.426944, 98.4375
